,classname,confidence,edges,mutation
347,Verbot für Fahrzeuge aller Art,0.85187894,11,1.35
348,Ausschließlich rechts,0.99955112,11,1.4
349,Baustelle,0.95602602,11,1.45
350,Vorfahrt,0.69472796,11,1.5
351,Vorfahrt gewähren,0.49474406,11,1.55
352,Verbot für Fahrzeuge aller Art,0.88354766,11,1.6
353,Verbot für Fahrzeuge aller Art,0.99374491,11,1.65
354,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.9655267,11,1.7
355,Doppelkurve (zunächst links),0.29958844,11,1.75
356,Einmalige Vorfahrt,0.98265231,11,1.8
357,Unebene Fahrbahn,0.77976918,11,1.85
358,Rechts vorbei,0.90503299,11,1.9
359,Ende aller Streckenverbote,0.50604558,11,1.95
360,Ende aller Streckenverbote,0.94195729,12,0.0
361,Ende aller Streckenverbote,0.92890996,12,0.05
362,Ende aller Streckenverbote,0.98686802,12,0.1
363,Ende aller Streckenverbote,0.97394401,12,0.15
364,Ende aller Streckenverbote,0.97019786,12,0.2
365,Ende aller Streckenverbote,0.64762813,12,0.25
366,Ausschließlich rechts,0.84824401,12,0.3
367,Vorfahrt,0.56778622,12,0.35
368,Ende aller Streckenverbote,0.96276122,12,0.4
369,Vorfahrt,0.79200381,12,0.45
370,Ende aller Streckenverbote,0.46821675,12,0.5
371,Vorfahrt,0.5536378,12,0.55
372,Vorfahrt,0.99808997,12,0.6
373,Vorfahrt gewähren,0.64113522,12,0.65
374,Vorfahrt,0.96643943,12,0.7
375,Vorfahrt gewähren,0.54521388,12,0.75
376,Verbot für Fahrzeuge aller Art,0.99846232,12,0.8
377,Verbot für Fahrzeuge aller Art,0.54687148,12,0.85
378,Vorfahrt gewähren,0.99181682,12,0.9
379,Verbot für Fahrzeuge aller Art,0.99999082,12,0.95
380,Vorfahrt gewähren,0.99745935,12,1.0
381,Vorfahrt,0.93752152,12,1.05
382,Rechts vorbei,0.8143217,12,1.1
383,Ausschließlich geradeaus,0.95456439,12,1.15
384,Vorfahrt,0.64074069,12,1.2
385,Rechts vorbei,0.99985719,12,1.25
386,Verbot für Fahrzeuge aller Art,0.90674883,12,1.3
387,Vorfahrt gewähren,0.99896598,12,1.35
388,Verbot für Fahrzeuge aller Art,0.9997378,12,1.4
389,Vorfahrt,0.78328806,12,1.45
390,Zulässige Höchstgeschwindigkeit (80),0.446091,12,1.5
391,Überholverbot für Kraftfahrzeuge aller Art,0.68525326,12,1.55
392,Vorfahrt gewähren,0.30557281,12,1.6
393,Rechts vorbei,0.74351364,12,1.65
394,Zulässige Höchstgeschwindigkeit (70),0.99990773,12,1.7
395,Verbot für Fahrzeuge aller Art,0.58123469,12,1.75
396,Zulässige Höchstgeschwindigkeit (50),0.69778037,12,1.8
397,Vorfahrt,0.59164429,12,1.85
398,Verbot für Fahrzeuge aller Art,0.97586024,12,1.9
399,Wildwechsel,0.9643811,12,1.95
400,Ende aller Streckenverbote,0.96354806,13,0.0
401,Ende aller Streckenverbote,0.96054745,13,0.05
402,Ende aller Streckenverbote,0.82231718,13,0.1
403,Ende aller Streckenverbote,0.95348281,13,0.15
404,Ende aller Streckenverbote,0.91396767,13,0.2
405,Vorfahrt,0.50979292,13,0.25
406,Vorfahrt,0.52534294,13,0.3
407,Ende aller Streckenverbote,0.67431897,13,0.35
408,Ende aller Streckenverbote,0.82634264,13,0.4
409,Vorfahrt,0.9510048,13,0.45
410,Vorfahrt,0.63813525,13,0.5
411,Ende aller Streckenverbote,0.87239361,13,0.55
412,Vorfahrt,0.3907629,13,0.6
413,Rechts vorbei,0.20625697,13,0.65
414,Verbot für Fahrzeuge aller Art,0.88757783,13,0.7
415,Vorfahrt,0.44525623,13,0.75
416,Unebene Fahrbahn,0.97024685,13,0.8
417,Vorfahrt,0.73226804,13,0.85
418,Vorfahrt gewähren,0.99996543,13,0.9
419,Vorfahrt gewähren,0.90463138,13,0.95
420,Vorfahrt gewähren,0.9886778,13,1.0
421,Verbot für Fahrzeuge aller Art,0.99919635,13,1.05
422,Verbot für Fahrzeuge aller Art,0.99126422,13,1.1
423,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.97594994,13,1.15
424,Verbot für Fahrzeuge aller Art,0.91204149,13,1.2
425,Vorfahrt gewähren,0.30609411,13,1.25
426,Verbot für Fahrzeuge aller Art,0.99893612,13,1.3
427,Rechts vorbei,0.90548855,13,1.35
428,Vorfahrt,0.39222744,13,1.4
429,Vorfahrt gewähren,0.91519862,13,1.45
430,Ausschließlich geradeaus,0.61691505,13,1.5
431,Verbot der Einfahrt,0.33438843,13,1.55
432,Ausschließlich rechts,0.9456864,13,1.6
433,Rechts vorbei,0.99572241,13,1.65
434,Rechts vorbei,0.65986222,13,1.7
435,Ende aller Streckenverbote,0.37173718,13,1.75
436,Verbot für Fahrzeuge aller Art,0.99970311,13,1.8
437,Vorfahrt gewähren,0.9999969,13,1.85
438,Gefahrenstelle,0.27218312,13,1.9
439,Zulässige Höchstgeschwindigkeit (50),0.99999774,13,1.95
440,Ende aller Streckenverbote,0.96584141,14,0.0
441,Ende aller Streckenverbote,0.91525471,14,0.05
442,Ende aller Streckenverbote,0.98566741,14,0.1
443,Ende aller Streckenverbote,0.96437871,14,0.15
444,Ende aller Streckenverbote,0.76891375,14,0.2
445,Ende aller Streckenverbote,0.88920867,14,0.25
446,Ende aller Streckenverbote,0.84005719,14,0.3
447,Ende aller Streckenverbote,0.46265629,14,0.35
448,Verbot für Fahrzeuge aller Art,0.49677411,14,0.4
449,Vorfahrt,0.43977034,14,0.45
450,Vorfahrt gewähren,0.79295093,14,0.5
451,Ende aller Streckenverbote,0.61318815,14,0.55
452,Vorfahrt,0.87831002,14,0.6
453,Vorfahrt,0.99882025,14,0.65
454,Stoppschild,0.63357902,14,0.7
455,Vorfahrt gewähren,0.46185669,14,0.75
456,Vorfahrt,0.98946929,14,0.8
457,Vorfahrt gewähren,0.46004051,14,0.85
458,Verbot für Fahrzeuge aller Art,0.57636136,14,0.9
459,Fahrradfahrer,0.55004317,14,0.95
460,Ausschließlich rechts,0.72016662,14,1.0
461,Rechts vorbei,0.99291718,14,1.05
462,Verbot für Fahrzeuge aller Art,0.99206936,14,1.1
463,Vorfahrt gewähren,0.66907549,14,1.15
464,Vorfahrt gewähren,0.97929186,14,1.2
465,Vorfahrt gewähren,0.99980026,14,1.25
466,Ausschließlich rechts,0.99608886,14,1.3
467,Verbot für Fahrzeuge aller Art,0.85321373,14,1.35
468,Ausschließlich rechts,0.99968493,14,1.4
469,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.92551672,14,1.45
470,Verbot für Fahrzeuge aller Art,0.98079407,14,1.5
471,Vorfahrt gewähren,0.90818405,14,1.55
472,Rechts vorbei,0.70151228,14,1.6
473,Baustelle,0.98932344,14,1.65
474,Verbot der Einfahrt,0.32289287,14,1.7
475,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.70775682,14,1.75
476,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99997389,14,1.8
477,Ausschließlich rechts,0.98943186,14,1.85
478,Verbot der Einfahrt,0.99980265,14,1.9
479,Vorfahrt gewähren,0.93729508,14,1.95
480,Ende aller Streckenverbote,0.92421031,15,0.0
481,Ende aller Streckenverbote,0.94830209,15,0.05
482,Ende aller Streckenverbote,0.93211126,15,0.1
483,Ende aller Streckenverbote,0.61602485,15,0.15
484,Ende aller Streckenverbote,0.93955779,15,0.2
485,Ende aller Streckenverbote,0.83840954,15,0.25
486,Ende aller Streckenverbote,0.98911077,15,0.3
487,Ende aller Streckenverbote,0.3922509,15,0.35
488,Ende aller Streckenverbote,0.69946283,15,0.4
489,Vorfahrt,0.99748069,15,0.45
490,Verbot für Fahrzeuge aller Art,0.35963047,15,0.5
491,Vorfahrt,0.710334,15,0.55
